GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG,SECONDS_REMAINING
0042300315,639,1,63,4,10:54 PM,1:39,,,Hardy 13' Fadeaway Jumper (7 PTS),121 - 94,-27,5.0,1630702,Jaden Hardy,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,99
0042300315,640,1,63,4,10:55 PM,1:24,Garza 11' Fadeaway Jumper (4 PTS),,,121 - 96,-25,4.0,1630568,Luka Garza,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,84
0042300315,641,6,4,4,10:55 PM,1:15,,,Powell OFF.Foul (P1) (M.Davis),,,5.0,203939,Dwight Powell,1610612742.0,Dallas,Mavericks,DAL,4,1631169,Josh Minott,1610612750.0,Minnesota,Timberwolves,MIN,1,0,,,,,,1,75
0042300315,643,5,37,4,10:55 PM,1:15,,,Powell Offensive Foul Turnover (P1.T12),,,5.0,203939,Dwight Powell,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,0,,,,,,1,75
0042300315,644,2,79,4,10:55 PM,1:06,MISS McLaughlin 11' Pullup Jump Shot,,,,,4.0,1629162,Jordan McLaughlin,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,66
0042300315,645,4,0,4,10:55 PM,1:05,Garza REBOUND (Off:1 Def:0),,,,,4.0,1630568,Luka Garza,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,65
0042300315,646,1,72,4,10:55 PM,1:05,Garza Putback Layup (6 PTS),,,121 - 98,-23,4.0,1630568,Luka Garza,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,65
0042300315,647,1,52,4,10:55 PM,0:50,,,Powell 3' Alley Oop Dunk (2 PTS) (Exum 1 AST),123 - 98,-25,5.0,203939,Dwight Powell,1610612742.0,Dallas,Mavericks,DAL,5,203957,Danté Exum,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,1,50
0042300315,650,1,63,4,10:56 PM,0:42,Moore Jr. 10' Fadeaway Jumper (2 PTS),,,123 - 100,-23,4.0,1631111,Wendell Moore Jr.,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,42
0042300315,651,6,2,4,10:56 PM,0:35,Moore Jr. S.FOUL (P1.T3) (K.Scott),,,,,4.0,1631111,Wendell Moore Jr.,1610612750.0,Minnesota,Timberwolves,MIN,5,1630639,A.J. Lawson,1610612742.0,Dallas,Mavericks,DAL,1,0,,,,,,1,35
0042300315,653,3,11,4,10:56 PM,0:35,,,MISS Lawson Free Throw 1 of 2,,,5.0,1630639,A.J. Lawson,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,35
0042300315,654,4,1,4,10:56 PM,0:35,,,Mavericks Rebound,,,3.0,1610612742,,,,,,0,0,,,,,,0,0,,,,,,1,35
0042300315,655,3,12,4,10:56 PM,0:35,,,Lawson Free Throw 2 of 2 (1 PTS),124 - 100,-24,5.0,1630639,A.J. Lawson,1610612742.0,Dallas,Mavericks,DAL,0,0,,,,,,0,0,,,,,,1,35
0042300315,656,1,79,4,10:57 PM,0:29,Moore Jr. 27' 3PT Pullup Jump Shot (5 PTS),,,124 - 103,-21,4.0,1631111,Wendell Moore Jr.,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1,29
